trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5988, 'e': 0.995}",25,8,-71.58266066194184,"{0: 10, 1: 4, 2: 1, 3: 1, 4: 1}",1
2,False,"{'a': 0.5976024, 'e': 0.990025}",25,0,-185.98626407623988,"{0: 13, 1: 3, 2: 5, 3: 1, 4: 3}",0
3,False,"{'a': 0.5964071952, 'e': 0.985074875}",25,0,-174.97058290851058,"{0: 11, 1: 3, 2: 9, 3: 0, 4: 2}",0
4,False,"{'a': 0.5952143808096, 'e': 0.9801495006250001}",30,0,-265.1403143229454,"{0: 17, 1: 5, 2: 2, 3: 0, 4: 6}",0
5,False,"{'a': 0.5940239520479808, 'e': 0.9752487531218751}",20,0,-102.42136123565145,"{0: 13, 1: 3, 2: 2, 3: 0, 4: 2}",0
6,False,"{'a': 0.5928359041438848, 'e': 0.9703725093562657}",30,0,-110.24941875786503,"{0: 19, 1: 4, 2: 5, 3: 1, 4: 1}",0
7,False,"{'a': 0.591650232335597, 'e': 0.9655206468094844}",25,0,-70.55715466688598,"{0: 15, 1: 4, 2: 5, 3: 1, 4: 0}",0
8,False,"{'a': 0.5904669318709258, 'e': 0.960693043575437}",20,15,8.165891336017669,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
9,False,"{'a': 0.589285998007184, 'e': 0.9558895783575597}",25,0,-175.41892104533838,"{0: 10, 1: 6, 2: 5, 3: 3, 4: 1}",0
10,False,"{'a': 0.5881074260111696, 'e': 0.9511101304657719}",20,0,-167.69910336601694,"{0: 8, 1: 4, 2: 3, 3: 4, 4: 1}",0
11,False,"{'a': 0.5869312111591473, 'e': 0.946354579813443}",30,0,-133.5988589560455,"{0: 17, 1: 2, 2: 10, 3: 0, 4: 1}",0
12,False,"{'a': 0.5857573487368289, 'e': 0.9416228069143757}",25,0,-196.98458688209703,"{0: 13, 1: 2, 2: 6, 3: 1, 4: 3}",0
13,False,"{'a': 0.5845858340393553, 'e': 0.9369146928798039}",20,3,-165.68636404761781,"{0: 8, 1: 2, 2: 3, 3: 1, 4: 3}",1
14,False,"{'a': 0.5834166623712765, 'e': 0.9322301194154049}",30,0,-181.4848855182007,"{0: 16, 1: 3, 2: 7, 3: 2, 4: 2}",0
15,False,"{'a': 0.582249829046534, 'e': 0.9275689688183278}",25,11,-66.52300325165436,"{0: 9, 1: 0, 2: 4, 3: 0, 4: 1}",1
16,False,"{'a': 0.5810853293884409, 'e': 0.9229311239742362}",25,0,-209.39887119257241,"{0: 15, 1: 0, 2: 6, 3: 0, 4: 4}",0
17,False,"{'a': 0.579923158729664, 'e': 0.918316468354365}",30,0,-158.15645320212118,"{0: 17, 1: 4, 2: 6, 3: 1, 4: 2}",0
18,False,"{'a': 0.5787633124122047, 'e': 0.9137248860125932}",25,0,-119.21757636075215,"{0: 18, 1: 0, 2: 4, 3: 1, 4: 2}",0
19,False,"{'a': 0.5776057857873803, 'e': 0.9091562615825302}",25,0,-51.03423702729523,"{0: 18, 1: 3, 2: 2, 3: 2, 4: 0}",0
20,False,"{'a': 0.5764505742158056, 'e': 0.9046104802746175}",20,0,-96.96898229528327,"{0: 12, 1: 1, 2: 5, 3: 1, 4: 1}",0
21,False,"{'a': 0.575297673067374, 'e': 0.9000874278732445}",30,0,-102.78935555680835,"{0: 21, 1: 2, 2: 4, 3: 2, 4: 1}",0
22,False,"{'a': 0.5741470777212393, 'e': 0.8955869907338783}",25,12,-44.46187685282901,"{0: 10, 1: 1, 2: 1, 3: 0, 4: 1}",1
23,False,"{'a': 0.5729987835657968, 'e': 0.8911090557802088}",20,1,-69.84201763627787,"{0: 12, 1: 2, 2: 4, 3: 0, 4: 1}",1
24,False,"{'a': 0.5718527859986652, 'e': 0.8866535105013078}",20,14,-17.42108348857473,"{0: 4, 1: 1, 2: 0, 3: 1, 4: 0}",1
25,False,"{'a': 0.5707090804266679, 'e': 0.8822202429488013}",35,16,-69.47236870128627,"{0: 12, 1: 1, 2: 4, 3: 2, 4: 0}",1
26,False,"{'a': 0.5695676622658146, 'e': 0.8778091417340573}",30,0,-104.91853308451778,"{0: 23, 1: 0, 2: 5, 3: 0, 4: 2}",0
27,False,"{'a': 0.568428526941283, 'e': 0.8734200960253871}",20,0,-72.20523476537812,"{0: 12, 1: 2, 2: 4, 3: 2, 4: 0}",0
28,False,"{'a': 0.5672916698874004, 'e': 0.8690529955452602}",20,0,-64.63592261188819,"{0: 11, 1: 5, 2: 3, 3: 1, 4: 0}",0
29,False,"{'a': 0.5661570865476256, 'e': 0.8647077305675338}",20,5,-100.8939012356324,"{0: 10, 1: 1, 2: 1, 3: 1, 4: 2}",1
30,False,"{'a': 0.5650247723745304, 'e': 0.8603841919146962}",20,11,-69.34677657709159,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 2}",1
31,False,"{'a': 0.5638947228297814, 'e': 0.8560822709551227}",20,0,-110.01522170726764,"{0: 10, 1: 2, 2: 7, 3: 0, 4: 1}",0
32,False,"{'a': 0.5627669333841218, 'e': 0.851801859600347}",30,0,-84.96952344428698,"{0: 21, 1: 4, 2: 3, 3: 1, 4: 1}",0
33,False,"{'a': 0.5616413995173535, 'e': 0.8475428503023453}",25,0,-113.36527797556478,"{0: 18, 1: 1, 2: 3, 3: 1, 4: 2}",0
34,False,"{'a': 0.5605181167183187, 'e': 0.8433051360508336}",25,12,-42.4675141212626,"{0: 7, 1: 2, 2: 4, 3: 0, 4: 0}",1
35,False,"{'a': 0.5593970804848821, 'e': 0.8390886103705794}",20,0,-126.55371032924586,"{0: 11, 1: 2, 2: 3, 3: 3, 4: 1}",0
36,False,"{'a': 0.5582782863239124, 'e': 0.8348931673187264}",20,6,-33.75790316387369,"{0: 12, 1: 0, 2: 1, 3: 0, 4: 1}",1
37,False,"{'a': 0.5571617297512645, 'e': 0.8307187014821328}",30,0,-146.86908758012916,"{0: 20, 1: 2, 2: 4, 3: 2, 4: 2}",0
38,False,"{'a': 0.556047406291762, 'e': 0.8265651079747222}",20,0,-169.4105806572066,"{0: 8, 1: 3, 2: 6, 3: 1, 4: 2}",0
39,False,"{'a': 0.5549353114791784, 'e': 0.8224322824348486}",25,17,-29.794154715874296,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 1}",1
40,False,"{'a': 0.5538254408562201, 'e': 0.8183201210226743}",20,0,-166.67794679140954,"{0: 11, 1: 2, 2: 3, 3: 1, 4: 3}",0
41,False,"{'a': 0.5527177899745076, 'e': 0.8142285204175609}",25,0,-145.09507669664157,"{0: 14, 1: 3, 2: 5, 3: 1, 4: 2}",0
42,False,"{'a': 0.5516123543945586, 'e': 0.810157377815473}",30,0,-103.84887797458602,"{0: 17, 1: 9, 2: 2, 3: 1, 4: 1}",0
43,False,"{'a': 0.5505091296857695, 'e': 0.8061065909263957}",20,0,-30.28962913242585,"{0: 14, 1: 5, 2: 0, 3: 1, 4: 0}",0
44,False,"{'a': 0.5494081114263979, 'e': 0.8020760579717637}",20,0,-57.890577829572436,"{0: 14, 1: 3, 2: 2, 3: 0, 4: 1}",0
45,False,"{'a': 0.5483092952035451, 'e': 0.798065677681905}",30,0,-115.85403690073652,"{0: 22, 1: 0, 2: 3, 3: 4, 4: 1}",0
46,False,"{'a': 0.547212676613138, 'e': 0.7940753492934954}",30,0,-118.1368028689536,"{0: 20, 1: 3, 2: 5, 3: 0, 4: 2}",0
47,False,"{'a': 0.5461182512599118, 'e': 0.7901049725470279}",20,2,-135.9458354893694,"{0: 8, 1: 1, 2: 6, 3: 2, 4: 1}",1
48,False,"{'a': 0.545026014757392, 'e': 0.7861544476842928}",20,0,-73.07123597093987,"{0: 15, 1: 1, 2: 2, 3: 1, 4: 1}",0
49,False,"{'a': 0.5439359627278773, 'e': 0.7822236754458713}",20,0,-95.67769900788744,"{0: 11, 1: 0, 2: 7, 3: 2, 4: 0}",0
50,False,"{'a': 0.5428480908024215, 'e': 0.778312557068642}",25,0,-105.00570447432617,"{0: 17, 1: 2, 2: 4, 3: 0, 4: 2}",0
51,False,"{'a': 0.5417623946208167, 'e': 0.7744209942832988}",30,0,-197.10164048157426,"{0: 16, 1: 4, 2: 6, 3: 1, 4: 3}",0
52,False,"{'a': 0.540678869831575, 'e': 0.7705488893118823}",20,0,-104.004219233074,"{0: 14, 1: 1, 2: 3, 3: 0, 4: 2}",0
53,False,"{'a': 0.5395975120919119, 'e': 0.7666961448653229}",25,0,-59.80749845098136,"{0: 18, 1: 4, 2: 2, 3: 0, 4: 1}",0
54,False,"{'a': 0.538518317067728, 'e': 0.7628626641409962}",25,0,-26.987578617402566,"{0: 22, 1: 1, 2: 1, 3: 0, 4: 1}",0
55,False,"{'a': 0.5374412804335925, 'e': 0.7590483508202912}",20,0,-38.30839967010576,"{0: 15, 1: 1, 2: 3, 3: 1, 4: 0}",0
56,False,"{'a': 0.5363663978727253, 'e': 0.7552531090661897}",20,0,-1.7060433924631755,"{0: 17, 1: 1, 2: 2, 3: 0, 4: 0}",0
57,False,"{'a': 0.5352936650769798, 'e': 0.7514768435208588}",25,0,-73.9284999880711,"{0: 18, 1: 3, 2: 2, 3: 1, 4: 1}",0
58,False,"{'a': 0.5342230777468259, 'e': 0.7477194593032545}",20,3,-85.6050923165052,"{0: 11, 1: 3, 2: 1, 3: 0, 4: 2}",1
59,False,"{'a': 0.5331546315913323, 'e': 0.7439808620067382}",20,0,-139.07615897767081,"{0: 12, 1: 1, 2: 3, 3: 2, 4: 2}",0
60,False,"{'a': 0.5320883223281496, 'e': 0.7402609576967045}",20,0,-49.85429280040766,"{0: 16, 1: 1, 2: 2, 3: 0, 4: 1}",0
61,False,"{'a': 0.5310241456834933, 'e': 0.736559652908221}",25,0,-140.04270828326722,"{0: 17, 1: 0, 2: 4, 3: 2, 4: 2}",0
62,False,"{'a': 0.5299620973921263, 'e': 0.7328768546436799}",30,0,-78.956229528514,"{0: 20, 1: 5, 2: 4, 3: 0, 4: 1}",0
63,False,"{'a': 0.528902173197342, 'e': 0.7292124703704616}",20,0,-93.57017470803642,"{0: 13, 1: 2, 2: 2, 3: 2, 4: 1}",0
64,False,"{'a': 0.5278443688509473, 'e': 0.7255664080186093}",20,2,3.4981500049948346,"{0: 15, 1: 2, 2: 1, 3: 0, 4: 0}",1
65,False,"{'a': 0.5267886801132454, 'e': 0.7219385759785162}",20,0,-113.64756814574424,"{0: 12, 1: 2, 2: 4, 3: 0, 4: 2}",0
66,False,"{'a': 0.5257351027530189, 'e': 0.7183288830986236}",25,0,-63.713404544405094,"{0: 18, 1: 3, 2: 3, 3: 0, 4: 1}",0
67,False,"{'a': 0.5246836325475129, 'e': 0.7147372386831305}",20,0,-82.55943542639162,"{0: 16, 1: 0, 2: 2, 3: 0, 4: 2}",0
68,False,"{'a': 0.5236342652824179, 'e': 0.7111635524897149}",25,2,-103.44214562173092,"{0: 16, 1: 1, 2: 4, 3: 0, 4: 2}",1
69,False,"{'a': 0.522586996751853, 'e': 0.7076077347272662}",25,0,-66.60413674643421,"{0: 18, 1: 4, 2: 1, 3: 1, 4: 1}",0
70,False,"{'a': 0.5215418227583494, 'e': 0.7040696960536299}",25,0,-160.79076165151344,"{0: 17, 1: 2, 2: 1, 3: 2, 4: 3}",0
71,False,"{'a': 0.5204987391128326, 'e': 0.7005493475733617}",20,1,-54.7893184574046,"{0: 15, 1: 1, 2: 1, 3: 1, 4: 1}",1
72,False,"{'a': 0.519457741634607, 'e': 0.697046600835495}",25,0,-147.73473361774202,"{0: 14, 1: 2, 2: 6, 3: 1, 4: 2}",0
73,False,"{'a': 0.5184188261513378, 'e': 0.6935613678313175}",20,14,2.0262218555820333,"{0: 5, 1: 1, 2: 0, 3: 0, 4: 0}",1
74,False,"{'a': 0.5173819884990352, 'e': 0.6900935609921609}",25,13,-46.069953698147515,"{0: 8, 1: 0, 2: 2, 3: 2, 4: 0}",1
75,False,"{'a': 0.5163472245220371, 'e': 0.6866430931872001}",25,17,1.0292386320413578,"{0: 7, 1: 0, 2: 1, 3: 0, 4: 0}",1
76,False,"{'a': 0.515314530072993, 'e': 0.6832098777212641}",25,0,-73.70821788532943,"{0: 19, 1: 1, 2: 3, 3: 1, 4: 1}",0
77,False,"{'a': 0.514283901012847, 'e': 0.6797938283326578}",30,13,-13.090250649430278,"{0: 12, 1: 3, 2: 2, 3: 0, 4: 0}",1
78,False,"{'a': 0.5132553332108214, 'e': 0.6763948591909945}",25,0,-77.26570520184661,"{0: 17, 1: 3, 2: 3, 3: 1, 4: 1}",0
79,False,"{'a': 0.5122288225443997, 'e': 0.6730128848950395}",25,10,-4.009110162119532,"{0: 12, 1: 2, 2: 1, 3: 0, 4: 0}",1
80,False,"{'a': 0.5112043648993109, 'e': 0.6696478204705644}",25,0,-121.01641197929253,"{0: 14, 1: 2, 2: 7, 3: 1, 4: 1}",0
81,False,"{'a': 0.5101819561695122, 'e': 0.6662995813682115}",35,0,-149.13670035174906,"{0: 24, 1: 5, 2: 3, 3: 0, 4: 3}",0
82,False,"{'a': 0.5091615922571732, 'e': 0.6629680834613705}",30,0,-79.59110138508541,"{0: 22, 1: 2, 2: 4, 3: 1, 4: 1}",0
83,False,"{'a': 0.5081432690726588, 'e': 0.6596532430440636}",25,3,-33.48028298451402,"{0: 16, 1: 3, 2: 2, 3: 1, 4: 0}",1
84,False,"{'a': 0.5071269825345135, 'e': 0.6563549768288433}",30,15,-75.98973061870916,"{0: 11, 1: 1, 2: 1, 3: 0, 4: 2}",1
85,False,"{'a': 0.5061127285694444, 'e': 0.653073201944699}",20,0,-91.41407187497754,"{0: 15, 1: 0, 2: 3, 3: 0, 4: 2}",0
86,False,"{'a': 0.5051005031123056, 'e': 0.6498078359349755}",30,0,-100.45580027393453,"{0: 19, 1: 5, 2: 4, 3: 1, 4: 1}",0
